,Player_Choice,CPU_Choice
0,0,0
1,0,0
2,1,1
3,1,2
4,2,2
5,2,0
6,0,2
7,0,1
8,0,1
9,1,2
10,2,0
11,1,0
12,2,0
13,0,2
14,2,1
15,0,1
16,0,0
17,2,1
18,2,1
19,0,2
20,1,0
21,1,2
22,1,0
23,0,1
24,2,2
25,0,1
26,2,2
27,0,2
28,2,1
29,2,1
30,1,0
31,1,2
32,1,1
33,1,0
34,0,0
35,0,0
36,0,0
37,1,2
38,1,0
39,1,2
40,2,2
41,2,2
42,0,2
43,0,2
44,0,0
45,1,2
46,1,2
47,2,2
48,1,0
49,0,0
50,1,0
51,2,1
52,1,2
53,1,2
54,2,2
55,0,1
56,0,2
57,1,2
58,0,0
59,2,2
60,2,1
61,0,1
62,0,2
63,0,1
64,1,2
65,1,2
66,1,0
67,1,2
68,2,1
69,1,1
70,1,0
71,2,2
72,0,0
73,0,1
74,2,2
75,2,0
76,1,1
77,1,2
78,0,2
79,0,0
80,0,0
81,2,2
82,2,0
83,2,1
84,0,2
85,1,1
86,1,0
87,1,2
88,2,0
89,0,2
90,0,1
91,0,0
92,0,2
93,0,2
94,2,1
95,2,0
96,2,1
97,1,0
98,1,2
99,1,2
100,1,2
101,1,2
102,1,2
103,1,2
104,1,0
105,1,1
106,1,2
107,1,2
108,0,0
109,0,1
110,2,1
111,2,0
112,0,1
113,2,1
114,0,1
115,2,0
116,2,0
117,1,0
118,2,2
119,2,2
120,2,0
121,2,0
122,0,1
123,0,1
124,1,1
125,1,0
126,0,2
127,2,0
128,2,0
129,2,0
130,2,1
131,2,0
132,2,0
133,0,0
134,0,1
135,0,2
136,0,0
137,1,2
138,1,2
139,1,2
140,1,2
141,0,2
142,0,1
143,2,1
144,2,0
145,2,1
146,0,0
147,0,2
148,0,1
149,0,2
150,0,2
151,1,1
152,1,1
153,0,1
154,2,1
155,0,0
156,2,1
157,0,0
158,0,0
159,0,0
160,1,1
161,1,2
162,2,2
163,2,2
164,2,1
165,0,0
166,2,1
167,2,0
168,0,1
169,0,0
170,2,1
171,2,1
172,0,2
173,1,1
174,1,2
175,1,2
176,1,1
177,0,2
178,2,1
179,2,0
180,2,1
181,2,2
182,2,0
183,2,0
184,2,0
185,2,0
186,2,0
187,1,0
188,1,0
189,1,2
190,1,1
191,1,1
192,0,2
193,0,2
194,0,1
195,0,2
196,0,1
197,1,1
198,1,2
199,1,2
200,1,2
201,0,0
202,1,0
203,0,2
204,0,0
205,1,0
206,2,2
207,0,2
208,1,2
209,0,2
210,2,1
211,1,0
212,0,2
213,2,2
214,2,2
215,1,1
216,1,2
217,0,1
218,2,2
219,0,0
220,0,1
221,2,0
222,1,0
223,2,1
224,0,0
225,0,0
226,1,2
227,1,0
228,1,1
229,0,0
230,2,1
231,0,0
232,2,1
233,1,1
234,0,2
235,2,1
236,1,1
237,0,1
238,2,2
239,1,2
240,0,1
241,2,2
242,0,2
243,0,1
244,2,2
245,2,0
246,0,2
247,0,2
248,0,1
249,2,2
250,2,0
251,1,2
252,2,2
253,0,1
254,0,1
255,0,1
256,2,1
257,2,0
258,2,0
259,2,1
260,2,0
261,1,1
262,2,1
263,1,1
264,2,2
265,1,1
266,0,0
267,0,0
268,1,0
269,2,2
270,1,2
271,0,1
272,2,0
273,1,0
274,2,2
275,1,1
276,0,0
277,1,1
278,0,0
279,2,1
280,0,2
281,1,2
282,2,2
283,1,2
284,0,2
285,2,1
286,1,0
287,0,0
288,2,1
289,1,1
290,2,1
291,1,1
292,2,0
293,1,2
294,2,0
295,2,2
296,2,0
297,0,0
298,0,1
299,0,1
300,0,0
301,2,1
302,0,2
303,2,2
304,1,0
305,0,0
306,2,0
307,2,0
308,0,0
309,0,1
310,2,1
311,0,2
312,0,1
313,2,2
314,0,2
315,1,0
316,2,0
317,2,0
318,2,1
319,2,0
320,2,0
321,2,0
322,0,0
323,2,1
324,0,2
325,2,2
326,0,1
327,2,2
328,0,0
329,2,1
330,0,1
331,0,0
332,0,0
333,0,2
334,0,0
335,0,0
336,2,1
337,2,1
338,2,0
339,2,1
340,2,0
341,0,0
342,0,0
343,0,1
344,0,1
345,1,0
346,2,0
347,0,0
348,2,2
349,0,1
350,2,0
351,0,2
352,2,2
353,0,1
354,0,0
355,0,1
356,0,1
357,0,0
358,1,1
359,1,0
360,1,1
361,1,1
362,1,0
363,1,2
364,1,2
365,2,2
366,2,1
367,2,0
368,0,0
369,0,1
370,0,1
371,0,1
372,0,1
373,0,1
374,2,1
375,2,1
376,2,0
377,2,0
378,0,0
379,0,1
380,0,0
381,0,1
382,1,0
383,1,1
384,1,2
385,1,2
386,1,2
387,0,2
388,0,0
389,0,0
390,2,2
391,2,0
392,2,0
393,0,0
394,0,2
395,0,1
396,0,1
397,0,1
398,0,2
399,0,2
400,0,1
401,0,1
402,0,0
403,0,1
404,0,1
405,0,1
406,0,0
407,0,1
408,0,0
409,0,1
410,0,1
411,0,1
412,0,1
413,0,1
414,2,1
415,2,0
416,2,0
417,2,0
418,2,0
419,1,0
420,1,0
421,1,1
422,1,1
423,1,2
424,1,0
425,1,2
426,1,2
427,1,2
428,2,2
429,2,0
430,2,0
431,2,0
432,2,0
433,2,1
434,2,0
435,2,1
436,0,0
437,0,0
438,0,1
439,0,1
440,0,1
441,0,0
442,0,1
443,0,1
444,0,1
445,0,2
446,0,1
447,2,1
448,0,0
449,2,0
450,0,2
451,2,1
452,0,1
453,2,0
454,2,1
455,2,1
456,2,0
457,1,0
458,0,2
459,0,0
460,2,0
461,2,0
462,0,0
463,0,1
464,0,1
465,0,1
466,0,1
467,2,1
468,2,0
469,2,1
470,2,0
471,1,0
472,1,2
473,2,2
474,0,1
475,0,1
476,0,1
477,2,1
478,2,1
479,2,1
480,2,0
481,0,2
482,1,1
483,2,0
484,2,0
485,1,0
486,0,0
487,2,0
488,1,1
489,2,1
490,2,0
491,0,0
492,0,2
493,2,1
494,0,1
495,2,1
496,1,1
497,1,1
498,1,1
499,1,2
500,0,0
501,0,1
502,0,1
503,0,0
504,0,0
505,0,1
506,0,0
507,2,1
508,2,0
509,2,0
510,2,0
511,0,1
512,0,1
513,2,1
514,1,0
515,1,2
516,0,2
517,2,1
518,0,0
519,2,0
520,0,0
521,2,0
522,0,1
523,2,2
524,0,0
525,2,2
526,1,1
527,1,1
528,1,1
529,0,2
530,2,1
531,2,1
532,2,0
533,2,1
534,2,1
535,2,2
536,2,0
537,0,0
538,0,0
539,0,1
540,0,1
541,0,1
542,0,1
543,0,0
544,1,1
545,1,2
546,1,2
547,1,2
548,1,0
549,1,0
550,1,2
551,1,2
552,2,2
553,2,1
554,2,0
555,2,0
556,2,0
557,2,0
558,2,0
559,2,0
560,2,0
561,2,1
562,0,0
563,0,0
564,0,0
565,0,2
566,0,1
567,0,1
568,0,1
569,0,1
